Name,Compact,Comfort,Price,Battery Convenience,Replaceable brush (rechargeable/non),Effectiveness,Rotating Head,Looks good,Innovative aspects for cleaning teeth,Soft and medium bristles,Bristles Innovation,Dual vibration,Ease of use
Respondent 1,0,0,0,1,1,0,0,0,0,0,0,0,0
Respondent 2,0,1,0,0,1,1,0,0,0,0,0,0,0
Respondent 3,1,1,1,1,0,0,0,0,0,0,1,0,0
Respondent 4,0,0,1,0,0,1,0,0,0,0,0,0,0
Respondent 1 - S,0,0,0,0,0,1,0,0,0,0,0,0,0
Respondent 2 - S,0,0,0,0,1,1,0,0,0,0,0,0,0
Respondent 3 - S,0,0,0,0,0,0,0,0,0,1,0,0,0
Respondent 4 - S,0,0,0,0,1,0,1,0,0,0,0,0,0
Respondent 1,0,0,0,0,0,0,0,1,1,0,0,0,0
Respondent 2,1,0,0,0,0,0,0,0,0,0,0,1,0
Respondent 3,0,0,0,0,0,0,0,0,0,1,1,0,1
Respondent 4,0,0,1,1,0,0,0,0,0,0,0,0,0
Respondent 5,0,0,0,0,0,1,0,0,0,0,0,0,0
Respondent 1,0,0,0,0,0,0,1,0,0,0,0,1,0
Respondent 2,0,0,0,1,0,0,0,0,0,0,1,0,0
Respondent 3,0,0,0,0,0,0,0,0,0,0,0,0,0
Respondent 4,1,1,1,1,1,1,1,1,1,1,1,1,1
Respondent 5,0,0,0,0,1,0,0,0,0,0,1,0,0
Respondent 6,0,1,0,0,1,0,0,0,0,0,0,0,0
Respondent 7,0,0,0,0,0,0,0,0,0,0,0,0,0
Respondent 8,0,0,0,0,0,1,0,0,0,0,0,0,0